brand,province,dealer,url
阿尔法.罗密欧,上海,保利汽车（上海）有限公司,http://seller.cheshi.com/shanghai/brand_1/p_1/
阿尔法.罗密欧,上海,意特汽车商业（上海）有限公司（Alfa Romeo）,http://seller.cheshi.com/shanghai/brand_1/p_1/
阿尔法.罗密欧,重庆,保利汽车（重庆）有限公司,http://seller.cheshi.com/chongqing/brand_1/p_1/
阿尔法.罗密欧,辽宁,尊荣亿方集团沈阳汽车销售有限公司,http://seller.cheshi.com/liaoning/brand_1/p_1/
阿尔法.罗密欧,河北,唐山凯骐名悦汽车销售服务有限公司,http://seller.cheshi.com/hebei/brand_1/p_1/
阿尔法.罗密欧,湖北,武汉恒信中意汽车销售服务有限公司,http://seller.cheshi.com/hubei/brand_1/p_1/
阿尔法.罗密欧,湖北,武汉康顺玛莎拉蒂汽车销售服务有限公司,http://seller.cheshi.com/hubei/brand_1/p_1/
阿尔法.罗密欧,江苏,无锡龙骏行汽车销售服务有限公司2,http://seller.cheshi.com/jiangsu/brand_1/p_1/
阿尔法.罗密欧,浙江,温州捷骏汽车有限公司2,http://seller.cheshi.com/zhejiang/brand_1/p_1/
阿尔法.罗密欧,云南,云南康顺汽车销售服务有限公司,http://seller.cheshi.com/yunnan/brand_1/p_1/
阿尔法.罗密欧,云南,保利汽车（昆明）有限公司,http://seller.cheshi.com/yunnan/brand_1/p_1/
一汽奥迪,北京,北京正德永成汽车贸易服务有限公司,http://seller.cheshi.com/beijing/brand_123/p_1/
一汽奥迪,北京,北京百得利国际商贸有限公司,http://seller.cheshi.com/beijing/brand_123/p_1/
一汽奥迪,北京,北京兴奥晟通汽车销售服务有限公司,http://seller.cheshi.com/beijing/brand_123/p_1/
一汽奥迪,北京,北京安洋伟业汽车销售服务有限公司,http://seller.cheshi.com/beijing/brand_123/p_1/
一汽奥迪,北京,北京天润汽车贸易服务有限公司,http://seller.cheshi.com/beijing/brand_123/p_1/
一汽奥迪,北京,北京运通博奥汽车销售服务有限公司,http://seller.cheshi.com/beijing/brand_123/p_1/
一汽奥迪,北京,北京中润发汽车销售有限公司,http://seller.cheshi.com/beijing/brand_123/p_1/
一汽奥迪,北京,北京新丰泰博奥汽车销售服务有限公司,http://seller.cheshi.com/beijing/brand_123/p_1/
一汽奥迪,北京,北京运通博奥汽车销售服务有限公司,http://seller.cheshi.com/beijing/brand_123/p_2/
一汽奥迪,北京,北京中润发汽车销售有限公司,http://seller.cheshi.com/beijing/brand_123/p_2/
一汽奥迪,北京,北京新丰泰博奥汽车销售服务有限公司,http://seller.cheshi.com/beijing/brand_123/p_2/
一汽奥迪,北京,北京华阳奥通汽车销售有限公司,http://seller.cheshi.com/beijing/brand_123/p_2/
一汽奥迪,北京,北京东方华奥汽车销售服务有限公司,http://seller.cheshi.com/beijing/brand_123/p_2/
一汽奥迪,北京,北京运通嘉奥汽车销售服务有限公司,http://seller.cheshi.com/beijing/brand_123/p_2/
一汽奥迪,北京,北京百得利奥迪中心,http://seller.cheshi.com/beijing/brand_123/p_2/
一汽奥迪,北京,北京德奥达汽车销售有限公司,http://seller.cheshi.com/beijing/brand_123/p_2/
一汽奥迪,上海,上海东联沪港汽车销售有限公司,http://seller.cheshi.com/shanghai/brand_123/p_1/
一汽奥迪,上海,上海东联松奥汽车销售服务有限公司,http://seller.cheshi.com/shanghai/brand_123/p_1/
一汽奥迪,上海,上海东昌汽车嘉定销售服务有限公司,http://seller.cheshi.com/shanghai/brand_123/p_1/
一汽奥迪,上海,上海永达奥迪中环汽车销售服务有限公司,http://seller.cheshi.com/shanghai/brand_123/p_1/
一汽奥迪,上海,上海永达汽车浦东销售服务有限公司（授权4S店）,http://seller.cheshi.com/shanghai/brand_123/p_1/
一汽奥迪,上海,上海永达弘杰汽车销售服务有限公司,http://seller.cheshi.com/shanghai/brand_123/p_1/
一汽奥迪,上海,上海骐润茂汽车销售有限公司,http://seller.cheshi.com/shanghai/brand_123/p_1/
一汽奥迪,上海,上海永达奥诚汽车销售服务有限公司,http://seller.cheshi.com/shanghai/brand_123/p_1/
一汽奥迪,上海,上海西上海奥杰汽车销售服务有限公司,http://seller.cheshi.com/shanghai/brand_123/p_1/
一汽奥迪,上海,上海一汽沪奥汽车销售有限公司,http://seller.cheshi.com/shanghai/brand_123/p_2/
一汽奥迪,上海,上海奥汇奥迪店,http://seller.cheshi.com/shanghai/brand_123/p_2/
一汽奥迪,上海,上海德辰汽车销售有限公司,http://seller.cheshi.com/shanghai/brand_123/p_2/
一汽奥迪,上海,上海永达汽车贸易中心有限公司,http://seller.cheshi.com/shanghai/brand_123/p_2/
一汽奥迪,天津,天津中升汇迪汽车销售有限公司,http://seller.cheshi.com/tianjin/brand_123/p_1/
一汽奥迪,天津,天津奥信通汽车销售服务有限公司,http://seller.cheshi.com/tianjin/brand_123/p_1/
一汽奥迪,天津,天津市华奥兴业汽车销售服务有限公司,http://seller.cheshi.com/tianjin/brand_123/p_1/
一汽奥迪,天津,天津市九州紫阳汽车销售服务有限公司,http://seller.cheshi.com/tianjin/brand_123/p_1/
一汽奥迪,天津,天津港保税区捷丰国际贸易有限公司,http://seller.cheshi.com/tianjin/brand_123/p_1/
一汽奥迪,天津,天津市永濠奥达汽车销售服务有限公司,http://seller.cheshi.com/tianjin/brand_123/p_1/
一汽奥迪,重庆,重庆正典汽车销售有限责任公司,http://seller.cheshi.com/chongqing/brand_123/p_1/
一汽奥迪,重庆,重庆中升汇迪汽车销售服务有限公司,http://seller.cheshi.com/chongqing/brand_123/p_1/
一汽奥迪,重庆,重庆长久世奥汽车销售服务有限公司,http://seller.cheshi.com/chongqing/brand_123/p_1/
一汽奥迪,重庆,重庆万家雅迪汽车销售服务有限公司,http://seller.cheshi.com/chongqing/brand_123/p_1/
一汽奥迪,黑龙江,绥化龙奥达汽车销售服务有限公司,http://seller.cheshi.com/heilongjiang/brand_123/p_1/
一汽奥迪,黑龙江,哈尔滨运通俊晟汽车销售服务有限公司,http://seller.cheshi.com/heilongjiang/brand_123/p_1/
一汽奥迪,黑龙江,佳木斯市华强汽车销售服务有限公司.,http://seller.cheshi.com/heilongjiang/brand_123/p_1/
一汽奥迪,黑龙江,齐齐哈尔粤华奥通汽车销售有限公司.,http://seller.cheshi.com/heilongjiang/brand_123/p_1/
